,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,time,polarity,subjectivity
0,0,0,0,0,0,0,2018-06-17 14:31:53,0.0,0.0
1,1,1,1,1,1,1,2018-06-17 14:31:53,0.0,0.0
2,2,2,2,2,2,2,2018-06-17 14:31:53,0.2,0.5
3,3,3,3,3,3,3,2018-06-17 14:31:53,0.25,0.333333333333
4,4,4,4,4,4,4,2018-06-17 14:31:53,-0.4,0.4
5,5,5,5,5,5,5,2018-06-17 14:31:53,0.1,0.4
6,6,6,6,6,6,6,2018-06-17 14:31:53,0.0,0.1
7,7,7,7,7,7,7,2018-06-17 14:31:53,0.0,0.0
8,8,8,8,8,8,8,2018-06-17 14:31:54,0.136363636364,0.5
9,9,9,9,9,9,9,2018-06-17 14:31:54,0.0,0.0
10,10,10,10,10,10,10,2018-06-17 14:31:54,0.0,0.0
11,11,11,11,11,11,11,2018-06-17 14:31:54,0.0,0.0
12,12,12,12,12,12,12,2018-06-17 14:31:54,0.0,0.0
13,13,13,13,13,13,13,2018-06-17 14:31:54,0.0681818181818,0.25
14,14,14,14,14,14,14,2018-06-17 14:31:54,0.0,0.0
15,15,15,15,15,15,15,2018-06-17 14:31:54,0.6,0.9
16,16,16,16,16,16,16,2018-06-17 14:31:54,0.166666666667,0.6
17,17,17,17,17,17,17,2018-06-17 14:31:54,-0.166666666667,0.0666666666667
18,18,18,18,18,18,18,2018-06-17 14:31:54,0.0,0.0
19,19,19,19,19,19,19,2018-06-17 14:31:54,0.0,0.0
