time,Germany,Mexico
6/17/2018 15:00,0,0
6/17/2018 15:01,-0.5,1
6/17/2018 15:02,1,-1
6/17/2018 15:03,-0.5,0.5
6/17/2018 15:07,1,-0.5
6/17/2018 15:08,-1,1
6/17/2018 15:09,-0.5,0.5
6/17/2018 15:10,-0.5,0.5
6/17/2018 15:13,-1,0
6/17/2018 15:14,-0.5,0.5
6/17/2018 15:16,1,0.5
6/17/2018 15:18,-1,1
6/17/2018 15:19,-1,0.5
6/17/2018 15:20,-1,1
6/17/2018 15:22,0.5,-0.5
6/17/2018 15:23,-1,1
6/17/2018 15:24,1,-1
6/17/2018 15:25,1,-1
6/17/2018 15:26,-1,0.5
6/17/2018 15:29,-1,1
6/17/2018 15:30,1,-1
6/17/2018 15:35,-1,1
6/17/2018 15:37,1,-1
6/17/2018 15:39,-1,1
6/17/2018 15:40,1,-1
6/17/2018 15:45,1,-1
6/17/2018 16:01,-1,1
6/17/2018 16:04,1,-1
6/17/2018 16:07,-1,1
6/17/2018 16:09,0.5,-0.5
6/17/2018 16:11,1,-1
6/17/2018 16:12,1,-1
6/17/2018 16:13,-0.5,0.5
6/17/2018 16:14,-1,1
6/17/2018 16:16,1,-1
6/17/2018 16:17,-0.5,0.5
6/17/2018 16:18,1,-1
6/17/2018 16:21,0.5,-0.5
6/17/2018 16:22,-1,1
6/17/2018 16:23,1,-1
6/17/2018 16:24,1,-1
6/17/2018 16:26,1,-1
6/17/2018 16:27,0.5,-0.5
6/17/2018 16:28,-1,-1
6/17/2018 16:29,1,1
6/17/2018 16:30,1,-1
6/17/2018 16:32,0.5,-0.5
6/17/2018 16:33,1,-1
6/17/2018 16:34,-0.5,0.5
6/17/2018 16:35,1,-1
6/17/2018 16:38,-0.5,0.5
6/17/2018 16:39,-1,1
6/17/2018 16:40,-1,1
6/17/2018 16:41,-1,1
6/17/2018 16:42,0.5,-0.5
6/17/2018 16:43,1,-1
6/17/2018 16:45,1,-1
6/17/2018 16:46,1,-1
6/17/2018 16:48,1,-1
6/17/2018 16:49,-1,1
6/17/2018 16:50,-1,1
